Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
CLARA;sede op, CDR COPPARO;COPPARO;;;;;;x;;x;;x;
CLARA;sede op, CDR TRESIGALLO;TRESIGALLO - TRESIGNANA;;;;;;x;;;x;;
CLARA;sede op, CDR MASSA FISCAGLIA;MASSA FISCAGLIA - FISCAGLIA;;;;;x;;x;;x;;
CLARA;sede op, CDR OSTELLATO;OSTELLATO;;;;;;;x;;;x;
CLARA;sede op, CDR MIGLIARO;MIGLIARO - FISCAGLIA;;;;;;x;;x;;x;
CLARA;sede op, CENTRO OPERATIVO SUD;SAN GIOVANNI D\'OSTELLATO;;;;;x;x;x;x;x;x;
CLARA;sede op, CDR LAGOSANTO;LAGOSANTO;;;;;x;;;x;;x;
CLARA;sede op, CENTRO OPERATIVO NORD;JOLANDA DI SAVOIA;;;;;x;x;x;x;x;x;
CLARA;sede op, ISOLA ECOLOGICA INTERRATA PORTOMAGGIORE;PORTOMAGGIORE;;;;;x;x;x;x;x;x;
CLARA;sede op, CDR PORTOMAGGIORE;PORTOMAGGIORE;;;;;;x;;x;;x;
CLARA;sede op, CDR VOGHIERA;VOGHIERA;;;;;x;;x;;;x;
CLIENTE PROVA 3;SEDE LEGALE;BERRA;;;;;;;;;;;VIA DELLE PROVE 9 , BERRA 44033 , FE
COFERASTA SPA;sede op, VIA MASI SAN BARTOLOMEO;SAN BARTOLOMEO IN BOSCO;;;;;x;x;x;x;x;;VIA MASI 1 , SAN BARTOLOMEO IN BOSCO , FE
COFERASTA SPA;sede amm, SAN MARTINO;SAN MARTINO - CITTA\' 5;;;;;x;x;x;x;x;;VIA BOLOGNA 900 , SAN MARTINO - CITTA\' 5 44124 , FE
COLOMBARINI LUCA;sede op, CONSANDOLO;CONSANDOLO;;;;;x;x;x;x;x;;VIA NAZIONALE NORD 174 , CONSANDOLO 44011 , FE
COLOMBARINI LUCA;sede op, S,MARIA CODIFIUME;SANTA MARIA CODIFIUME;;;;;x;x;x;x;x;;VIA CANNE , SANTA MARIA CODIFIUME 44048 , FE
COLOMBARINI LUCA;sede op, GAMBULAGA;GAMBULAGA;;;;;x;x;x;x;x;;VIA ROSA , GAMBULAGA 44015 , FE
COLOMBARINI LUCA;sede op, RUSSI;RUSSI;;;;;x;x;x;x;x;;VIA MADRARA , RUSSI 48026 , RA
COLONNESI SIMONA;Sede op, ABITAZIONE;FERRARA;;;;;x;x;x;x;x;x;VIA MIGLIARI 20 , FERRARA , FE
COMPAGNIA DEI SERRAMENTI S,R,L,;Sede legale;MASSA FISCAGLIA;;;;;x;x;x;x;x;;VIA BRUCIATA 3 , MASSA FISCAGLIA 44025 , FE
COMUNE DI BONDENO;sede op, SCUOLA DELL\'INFANZIA DI PILASTRI-LEZZINE;PILASTRI;;;;;;;;;;;VIA VIRGILIANA , PILASTRI 44012 , FE
COMUNE DI BONDENO;sede op, PILASTRI;BONDENO;;;;;;;;;;;VIA POLETTI , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, PIAZZA DELLA REPUBBLICA;BONDENO;;;;;;;;;;;VIALE DELLA REPUBBLICA , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, EX FORNACE GRANDI - VIA DAZIO;BONDENO;;;;;;;;;;;VIA DAZIO 47 , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, SCUOLA DELL\'INFANZIA GRANATIERI DI SARDEGNA;BONDENO;;;;;;;;;;;VIA GRANATIERI DI SARDEGNA , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, SCUOLA ELEMENTARE SCORTICHINO;BONDENO;;;;;;;;;;;VIA PROVINCIALE 165 , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, PALESTRA VIA GARDENGHI;BONDENO;;;;;;;;;;;VIA GARDENGHI , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, SCUOLA ELEMENTARE BONDENO-T,BONATI;BONDENO;;;;;;;;;;;VIA GARDENGHI 5 , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, SCUOLA MEDIA BONDENO-T,BONATI;BONDENO;;;;;;;;;;;VIA GARDENGHGI MONS, ULISSE 3 , BONDENO 44012 , FE
COMUNE DI BONDENO;sede op, CENTRO POLIFUNZIONALE;BONDENO;;;;;;;;;;;PIAZZALE AUTIERI D\'ITALIA 5 , BONDENO 44012 , FE
COMUNE DI CODIGORO;Sede op, EX VILLA PADRONALE SOC, AGR, SCALAMBRA;POMPOSA;;;;;;;;;;;, POMPOSA
COMUNE DI FISCAGLIA;sede op, SCUOLA PRIMARIA DI MASSA FISCAGLIA;MASSA FISCAGLIA;;;;;;;;;;;PIAZZA DELLA REPUBBLICA 13 , MASSA FISCAGLIA 44025 , FE
COMUNE DI FISCAGLIA;sede op, SCUOLA DELL\'INFANZIA G, PASCOLI - MASSA FISCAGLIA;MASSA FISCAGLIA;;;;;;;;;;;VIA GRAMSCI 22 , MASSA FISCAGLIA 44025 , FE
COMUNE DI FISCAGLIA;sede op, SCUOLA PRIMARIA DANTE ALIGHIERI MIGLIARINO;MIGLIARINO;;;;;;;;;;;VIA GRAMSCI 10 , MIGLIARINO 44025 , FE
COMUNE DI FISCAGLIA;sede op, SCUOLA DELL\'INFANZIA BRUNO E MARIA FEGGI;MIGLIARINO;;;;;;;;;;;VIA DEL PARCO 1/B , MIGLIARINO 44025 , FE
COMUNE DI FISCAGLIA;sede op, SCUOLA SECONDARIA DI MIGLIARO;MIGLIARO;;;;;;;;;;;VIA NUOVA 6 , MIGLIARO 44025 , FE
COMUNE DI FISCAGLIA;sede op, SCUOLA DELL\'INFANZIA DI CORTE CASCINA;MIGLIARO;;;;;;;;;;;VIA SFONDRABO\' 5 , MIGLIARO 44025 , FE
COMUNE DI FISCAGLIA;sede op, CENTRO SPORTIVO TENNIS CLUB E CAMPO SPORTIVO;MASSA FISCAGLIA;;;;;;;;;;;VIA DELLA PACE 3 , MASSA FISCAGLIA 44025 , FE
COMUNE DI FISCAGLIA;sede op, CIRCOLO AUSER;MASSA FISCAGLIA;;;;;;;;;;;VIA DELLA PACE 3 , MASSA FISCAGLIA 44025 , FE
